symbol,date,open,high,low,close
BCH,2017-12-01T00:00:00Z,1318.42,1451.12,1243.5,1426.5
BCH,2017-12-02T00:00:00Z,1426.57,1464.77,1371.13,1390.58
BCH,2017-12-03T00:00:00Z,1390.92,1621.91,1378.47,1511.46
BCH,2017-12-04T00:00:00Z,1511.37,1543.78,1438.56,1540.7
BCH,2017-12-05T00:00:00Z,1540.64,1581.8,1410.56,1421.42
BCH,2017-12-06T00:00:00Z,1421.41,1461.22,1309.53,1349.75
BCH,2017-12-07T00:00:00Z,1349.74,1363.09,1217.38,1230
BCH,2017-12-08T00:00:00Z,1229.9,1560.71,1137.42,1383.3
BCH,2017-12-09T00:00:00Z,1383.33,1466.48,1305.28,1369.36
BCH,2017-12-10T00:00:00Z,1369.53,1369.53,1186.48,1289.78
BCH,2017-12-11T00:00:00Z,1289.42,1429.02,1288.39,1402.18
BCH,2017-12-12T00:00:00Z,1402.35,1601.28,1330.78,1543.45
BCH,2017-12-13T00:00:00Z,1544.92,1664.79,1444.1,1572.91
BCH,2017-12-14T00:00:00Z,1572.91,2053.26,1561.3,1933.27
BCH,2017-12-15T00:00:00Z,1933.27,1939.79,1630.62,1795.31
BCH,2017-12-16T00:00:00Z,1797.03,1864.87,1733.98,1773.75
BCH,2017-12-17T00:00:00Z,1773.75,1904.01,1773.1,1827.41
BCH,2017-12-18T00:00:00Z,1827.41,2311.36,1750.39,2146.79
BCH,2017-12-19T00:00:00Z,2146.46,2827.39,2075.48,2670.97
BCH,2017-12-20T00:00:00Z,2670.97,4112.39,2665.55,3715.91
BCH,2017-12-21T00:00:00Z,3715.91,3717.55,2857.3,3084.09
BCH,2017-12-22T00:00:00Z,3084.09,3163.97,1716.84,2521.46
BCH,2017-12-23T00:00:00Z,2521.45,3249.32,2466.89,2991.57
BCH,2017-12-24T00:00:00Z,2991.58,2997.03,2463.15,2797.92
BCH,2017-12-25T00:00:00Z,2797.92,2883.55,2600.42,2739.94
BCH,2017-12-26T00:00:00Z,2739.94,2929.03,2720.99,2921.84
BCH,2017-12-27T00:00:00Z,2921.89,2924.47,2568.85,2710.64
BCH,2017-12-28T00:00:00Z,2710.64,2727.03,2291.94,2484.96
BCH,2017-12-29T00:00:00Z,2486.54,2884.96,2311.24,2619.32
BCH,2017-12-30T00:00:00Z,2622.42,2634.36,2103.91,2209.96
BCH,2017-12-31T00:00:00Z,2210.18,2485.77,2165.12,2371.83
BTC,2017-01-01T00:00:00Z,963.38,1001.61,956.1,995.44
BTC,2017-01-02T00:00:00Z,995.44,1031.68,990.2,1017.05
BTC,2017-01-03T00:00:00Z,1017.05,1035.47,1006.53,1033.3
BTC,2017-01-04T00:00:00Z,1033.3,1148.54,1022.32,1135.41
BTC,2017-01-05T00:00:00Z,1135.41,1150.63,874.53,989.35
BTC,2017-01-06T00:00:00Z,989.35,1027.42,852.55,886.16
BTC,2017-01-07T00:00:00Z,886.16,900.86,806.66,888.87
BTC,2017-01-08T00:00:00Z,888.87,936.13,875.85,900.86
BTC,2017-01-09T00:00:00Z,900.86,910.47,870.91,899.78
BTC,2017-01-10T00:00:00Z,899.78,911.32,890.12,904.37
BTC,2017-01-11T00:00:00Z,904.37,917.65,751.63,785.43
BTC,2017-01-12T00:00:00Z,785.43,828.21,739.55,810.11
BTC,2017-01-13T00:00:00Z,810.11,835.05,771,824.83
BTC,2017-01-14T00:00:00Z,824.83,838.9,808.27,819.63
BTC,2017-01-15T00:00:00Z,819.63,826.43,808.63,821.17
